,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,score,
205,0,2,0,0,1,0,0,3,0,4,4,ikigai
206,0,1,0,0,1,0,0,2,0,1,1,ikigai
207,0,0,0,0,0,0,0,0,0,1,1,ikigai
208,0,0,0,0,1,1,1,2,1,2,1,ikigai
209,1,1,1,0,1,0,1,2,1,4,3,ikigai
210,0,3,0,0,1,0,1,1,0,2,2,ikigai
211,0,1,0,1,1,0,1,2,0,1,1,ikigai
212,0,1,0,1,3,1,0,3,1,3,2,ikigai
213,0,2,0,0,1,0,0,1,0,3,3,ikigai
214,0,1,0,0,1,0,1,1,0,1,1,ikigai
215,0,3,0,0,1,0,1,5,0,4,4,ikigai
216,0,2,0,0,1,0,0,1,0,3,3,ikigai
217,0,0,0,0,1,0,0,6,0,6,6,ikigai
218,0,0,0,0,2,0,1,1,0,2,2,ikigai
219,0,0,0,0,0,0,0,0,0,0,0,ikigai
220,0,3,0,0,3,0,1,2,0,5,5,ikigai
221,0,1,0,1,1,0,1,2,1,3,2,ikigai
222,0,2,0,0,2,1,0,4,1,4,3,ikigai
223,0,0,0,0,0,0,0,1,0,1,1,ikigai
224,0,2,0,0,1,0,1,0,0,2,2,ikigai
225,1,1,1,1,1,1,1,1,1,2,1,ikigai
226,0,1,0,0,3,1,0,4,1,5,4,ikigai
227,0,0,0,0,0,0,0,0,0,0,0,ikigai
228,2,3,1,1,2,1,1,3,1,5,4,ikigai
229,0,0,0,0,0,0,0,2,0,2,2,ikigai
230,0,1,0,0,1,0,1,1,0,2,2,ikigai
231,0,3,0,0,2,0,1,4,0,5,5,ikigai
232,0,0,1,0,0,0,1,2,1,0,-1,ikigai
233,0,0,0,0,1,0,0,1,0,2,2,ikigai
234,0,4,0,0,1,0,1,0,1,4,3,ikigai
235,0,2,0,0,3,0,1,3,0,5,5,ikigai
236,0,2,0,0,1,0,0,3,1,3,2,ikigai
237,0,1,0,0,1,0,0,1,0,2,2,ikigai
238,0,0,0,1,1,1,0,0,1,1,0,ikigai
239,0,0,0,0,1,1,1,4,1,4,3,ikigai
240,0,1,0,0,1,0,1,2,0,1,1,ikigai
241,0,2,0,0,1,0,1,1,0,1,1,ikigai
242,0,1,0,0,1,0,1,1,0,1,1,ikigai
243,0,0,0,0,0,0,0,0,0,0,0,ikigai
244,0,2,0,0,2,0,0,2,0,2,2,ikigai
245,0,1,0,0,2,0,1,1,0,3,3,ikigai
246,0,1,0,1,2,0,0,0,0,2,2,ikigai
247,0,0,0,0,0,0,0,0,1,1,0,ikigai
248,0,0,1,0,0,2,0,0,1,3,2,ikigai
249,0,1,0,0,1,0,1,1,1,4,3,ikigai
250,0,5,0,0,4,0,2,5,0,7,7,ikigai
251,0,6,1,0,3,0,2,3,0,4,4,ikigai
252,0,0,0,0,3,0,2,3,0,3,3,ikigai
253,0,1,0,0,1,0,1,3,0,3,3,ikigai
254,0,2,0,0,2,0,1,3,0,2,2,ikigai
255,0,2,0,0,1,0,1,1,0,1,1,ikigai
256,0,1,0,0,1,0,1,1,0,1,1,ikigai
257,0,0,0,0,1,1,0,1,1,3,2,ikigai
258,0,2,0,0,3,0,1,2,0,3,3,ikigai
259,0,1,0,0,0,0,0,0,0,0,0,ikigai
260,0,5,0,0,3,0,1,3,0,6,6,ikigai
261,0,0,0,0,1,0,0,2,1,1,0,ikigai
262,0,1,0,0,1,0,0,1,0,2,2,ikigai
263,0,1,0,0,1,0,1,1,0,2,2,ikigai
264,0,1,0,0,1,1,1,1,0,1,1,ikigai
265,0,1,0,1,1,0,1,1,0,1,1,ikigai
266,0,0,0,0,0,0,0,0,0,1,1,ikigai
267,0,0,0,0,0,0,0,0,0,0,0,ikigai
268,0,0,0,0,1,0,0,1,0,3,3,ikigai
269,0,0,0,0,0,0,0,0,0,1,1,ikigai
270,0,3,0,0,3,0,2,1,0,4,4,ikigai
271,0,1,0,0,1,0,0,1,0,3,3,ikigai
272,0,1,0,0,2,0,1,2,1,2,1,ikigai
273,0,1,0,0,1,0,1,2,0,5,5,ikigai
274,0,0,0,0,0,0,0,0,0,0,0,ikigai
275,0,0,0,0,0,0,0,1,0,2,2,ikigai
276,0,0,0,0,0,0,0,0,0,0,0,ikigai
277,1,3,1,0,3,1,1,3,1,4,3,ikigai
278,0,0,0,0,0,0,0,1,0,2,2,ikigai
279,0,2,0,0,3,0,1,2,0,6,6,ikigai
