"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score"
"1600",0,0,0,0,1,0,0,2,0,4,4
"1601",1,2,1,0,1,1,1,1,1,4,3
"1602",0,2,0,0,2,0,3,5,1,9,8
"1603",1,3,0,2,1,1,2,2,4,3,-1
"1604",0,0,0,1,0,1,0,1,1,1,0
"1605",1,1,1,0,1,1,0,1,1,3,2
"1606",3,1,3,2,0,3,0,1,3,2,-1
"1607",1,0,1,0,3,0,0,2,2,8,6
"1608",0,1,0,1,0,1,0,0,1,2,1
"1609",0,2,0,1,0,0,0,0,1,2,1
"1610",0,1,0,0,2,0,1,2,0,5,5
"1611",0,6,0,0,7,1,3,7,1,10,9
"1612",1,0,0,0,3,0,0,5,3,8,5
"1613",0,5,0,1,5,1,1,4,1,7,6
"1614",0,1,0,0,2,0,1,3,1,4,3
"1615",0,4,0,1,4,0,1,5,1,7,6
"1616",1,3,1,1,3,1,1,4,0,6,6
"1617",0,5,0,1,7,1,2,5,0,10,10
"1618",0,0,0,0,1,0,0,3,0,6,6
"1619",1,1,0,1,0,0,0,1,1,0,-1
"1620",0,1,0,0,2,0,0,2,0,2,2
"1621",0,2,0,2,2,1,2,3,2,3,1
"1622",0,4,0,0,3,0,0,4,1,4,3
"1623",3,5,2,3,5,3,3,6,4,12,8
"1624",0,0,0,0,0,0,0,1,0,2,2
"1625",0,1,0,0,1,0,0,1,0,4,4
"1626",0,1,0,0,1,0,0,3,1,3,2
"1627",0,0,0,0,0,0,0,1,1,2,1
"1628",0,1,0,0,1,0,1,1,1,1,0
"1629",0,1,0,0,1,0,0,2,0,2,2
"1630",0,1,0,0,0,0,0,1,0,3,3
"1631",0,1,0,0,2,0,0,1,0,4,4
"1632",0,0,0,1,1,0,1,2,1,5,4
"1633",0,2,0,0,2,0,2,3,1,4,3
"1634",1,3,0,0,4,0,3,5,0,5,5
"1635",0,0,0,0,0,0,0,0,0,1,1
"1636",0,1,1,1,1,2,1,1,2,3,1
"1637",0,3,0,0,1,0,0,1,0,1,1
"1638",1,2,0,0,2,0,2,2,0,4,4
"1639",0,2,0,0,2,0,1,2,0,4,4
"1640",0,0,0,0,0,0,0,0,0,2,2
"1641",0,3,0,0,2,0,1,2,0,6,6
"1642",0,1,0,0,3,0,1,4,0,7,7
"1643",0,0,0,0,1,0,0,3,0,5,5
"1644",1,0,0,0,1,0,0,1,1,2,1
"1645",0,0,0,0,0,0,0,1,0,0,0
"1646",0,1,0,1,1,0,1,1,0,1,1
"1647",0,0,0,0,0,0,0,1,0,2,2
"1648",0,1,0,0,1,0,1,1,0,2,2
"1649",0,0,0,0,1,0,1,3,0,4,4
"1650",0,0,0,0,1,0,0,0,0,1,1
"1651",1,1,0,0,1,1,1,1,1,1,0
"1652",0,1,0,0,0,0,0,0,1,2,1
"1653",0,1,0,0,1,0,1,1,0,4,4
"1654",0,1,0,0,1,0,1,2,0,4,4
"1655",0,0,0,0,0,0,0,2,0,2,2
"1656",0,3,0,0,6,0,2,6,0,7,7
"1657",0,0,0,0,2,0,0,2,0,3,3
"1658",0,0,0,0,0,0,0,0,0,2,2
"1659",0,0,0,0,1,0,0,0,0,1,1
"1660",0,1,0,0,1,0,1,1,0,3,3
"1661",0,1,0,0,1,0,0,1,1,3,2
"1662",0,1,0,0,1,0,0,1,0,2,2
"1663",0,0,0,0,0,0,0,0,0,0,0
"1664",0,0,0,0,0,0,0,0,1,0,-1
"1665",0,2,0,0,1,0,2,2,0,3,3
"1666",0,1,0,0,2,0,1,2,0,2,2
"1667",1,4,0,0,4,0,3,3,0,5,5
"1668",0,0,0,0,0,0,0,0,0,0,0
"1669",0,0,0,0,1,0,0,2,0,2,2
"1670",0,1,0,0,1,0,0,1,0,2,2
"1671",0,1,0,0,0,0,0,0,1,0,-1
"1672",0,1,0,1,1,0,1,2,1,3,2
"1673",0,2,0,0,1,0,1,1,0,2,2
"1674",1,2,1,2,3,2,2,1,2,3,1
"1675",0,0,0,0,0,0,0,0,0,0,0
"1676",0,4,0,1,2,0,1,1,1,3,2
"1677",0,0,0,0,2,0,0,0,0,3,3
"1678",0,2,1,0,1,0,0,0,1,1,0
"1679",0,0,0,0,1,0,0,1,0,2,2
"1680",0,0,0,0,0,0,0,0,0,1,1
"1681",0,1,0,0,1,0,1,2,0,4,4
"1682",1,1,1,1,0,1,1,1,1,2,1
"1683",0,2,0,0,2,0,1,1,0,2,2
"1684",0,2,0,0,2,0,1,1,0,3,3
"1685",0,1,0,0,1,0,1,1,0,1,1
"1686",0,0,0,0,1,0,0,1,0,3,3
"1687",0,0,0,0,0,0,0,0,0,1,1
"1688",0,3,0,0,3,0,0,1,0,3,3
"1689",0,0,0,0,0,0,0,0,0,2,2
"1690",1,1,1,0,1,1,1,0,1,2,1
"1691",0,0,0,0,0,0,0,0,0,0,0
"1692",0,0,0,0,0,0,0,0,0,0,0
"1693",0,4,0,0,3,0,0,4,0,3,3
"1694",0,2,0,0,1,0,0,2,0,2,2
"1695",0,0,0,0,1,0,0,1,0,1,1
"1696",0,1,0,0,1,0,0,0,0,1,1
"1697",0,1,0,0,1,0,1,1,0,2,2
"1698",2,0,2,1,0,2,0,1,3,1,-2
"1699",0,1,0,0,1,0,1,1,0,2,2
"1700",0,1,0,0,1,0,1,0,0,1,1
"1701",0,0,0,0,0,0,0,1,0,1,1
"1702",0,2,0,0,2,0,0,2,0,2,2
"1703",0,0,0,0,0,0,0,0,0,1,1
"1704",0,0,0,1,0,2,0,0,2,0,-2
"1705",0,2,0,0,1,0,1,0,1,1,0
"1706",0,1,0,0,0,0,0,0,0,0,0
"1707",0,0,0,0,0,0,0,1,0,1,1
"1708",0,1,0,0,0,0,0,1,0,0,0
"1709",0,1,0,0,2,0,1,1,0,3,3
"1710",0,2,0,0,1,0,1,1,0,3,3
"1711",0,1,0,0,0,0,0,0,0,1,1
"1712",0,0,0,0,0,0,0,0,0,1,1
"1713",0,1,0,0,1,0,0,1,0,2,2
"1714",0,2,0,0,2,0,2,3,0,4,4
"1715",0,2,0,0,1,0,0,2,0,2,2
"1716",0,0,0,0,0,0,0,0,0,0,0
"1717",0,2,1,0,1,0,1,1,1,2,1
"1718",0,1,0,0,2,0,1,3,0,2,2
"1719",1,0,1,1,0,1,0,0,2,0,-2
"1720",0,1,0,0,1,0,1,1,0,1,1
"1721",0,1,0,0,1,0,0,1,0,1,1
"1722",0,0,0,0,1,0,0,1,0,2,2
"1723",0,2,0,0,2,0,0,2,0,4,4
"1724",0,1,0,0,1,0,1,0,0,1,1
"1725",0,1,0,0,1,0,1,1,0,2,2
"1726",0,1,0,0,1,0,1,1,0,1,1
"1727",0,0,0,0,0,0,0,0,0,0,0
"1728",0,1,0,0,1,0,1,1,0,2,2
"1729",0,1,0,0,1,0,0,1,0,3,3
"1730",0,0,0,0,0,0,0,0,0,0,0
"1731",1,1,1,0,1,0,1,1,1,2,1
"1732",0,0,0,0,0,0,0,0,0,2,2
"1733",0,0,0,0,1,0,0,1,0,1,1
